end_date,link,location,name,season,start_date,tour,year,tid
Jun 13 2004,https://www.pgatour.com/tournaments/the-northern-trust/past-results.2004.html,"Westchester CC, Harrison, New York",BuickClassic,2004,Jun 10 2004,PGA,2004,BuickClassicPGA2004
Jun 20 2004,https://www.pgatour.com/tournaments/us-open/past-results.2004.html,"Shinnecock Hills GC, Southampton, New York",U.S.OpenChampionship,2004,Jun 17 2004,PGA,2004,U.S.OpenChampionshipPGA2004
Jun 27 2004,,"TPC Avenel, Potomac, Maryland",BoozAllenClassic,2004,Jun 24 2004,PGA,2004,BoozAllenClassicPGA2004
Jul 4 2004,https://www.pgatour.com/tournaments/bmw-championship/past-results.2004.html,"Cog Hill G&CC, Lemont, Illinois",CialisWesternOpen,2004,Jul 1 2004,PGA,2004,CialisWesternOpenPGA2004
Jul 11 2004,https://www.pgatour.com/tournaments/john-deere-classic/past-results.2004.html,"TPC Deere Run, Silvis, Illinois",JohnDeereClassic,2004,Jul 8 2004,PGA,2004,JohnDeereClassicPGA2004
Jul 18 2004,,"En-Joie GC, Endicott, New York",B.C.Open,2004,Jul 15 2004,PGA,2004,B.C.OpenPGA2004
Jul 18 2004,https://www.pgatour.com/tournaments/the-open-championship/past-results.2004.html,"Royal Troon GC, Ayrshire,  ",TheOpenChampionship,2004,Jul 15 2004,PGA,2004,TheOpenChampionshipPGA2004
Jul 25 2004,,"Brown Deer Park GC, Milwaukee, Wisconsin",U.S.BankChampionshipinMilwaukee,2004,Jul 22 2004,PGA,2004,U.S.BankChampionshipinMilwaukeePGA2004
Aug 1 2004,,"Warwick Hills G&CC, Grand Blanc, Michigan",BuickOpen,2004,Jul 29 2004,PGA,2004,BuickOpenPGA2004
Aug 8 2004,,"Castle Pines GC, Castle Rock, Colorado",TheINTERNATIONAL,2004,Aug 5 2004,PGA,2004,TheINTERNATIONALPGA2004
Aug 15 2004,https://www.pgatour.com/tournaments/pga-championship/past-results.2004.html,"Whistling Straits, Sheboygan, Wisconsin",PGAChampionship,2004,Aug 12 2004,PGA,2004,PGAChampionshipPGA2004
Aug 22 2004,https://www.pgatour.com/tournaments/barracuda-championship/past-results.2004.html,"Montreux G&CC, Reno, Nevada",Reno-TahoeOpen,2004,Aug 19 2004,PGA,2004,Reno-TahoeOpenPGA2004
Aug 22 2004,https://www.pgatour.com/tournaments/wgc-fedex-st-jude-invitational/past-results.2004.html,"Firestone CC (South), Akron, Ohio",WorldGolfChampionships-NECInvitational,2004,Aug 19 2004,PGA,2004,WorldGolfChampionships-NECInvitationalPGA2004
Aug 29 2004,https://www.pgatour.com/tournaments/travelers-championship/past-results.2004.html,"TPC River Highlands, Cromwell, Connecticut",BuickChampionship,2004,Aug 26 2004,PGA,2004,BuickChampionshipPGA2004
Sep 6 2004,https://www.pgatour.com/tournaments/dell-technologies-championship/past-results.2004.html,"TPC Boston, Norton, Massachusetts",DeutscheBankChampionship,2004,Sep 3 2004,PGA,2004,DeutscheBankChampionshipPGA2004
Sep 12 2004,https://www.pgatour.com/tournaments/rbc-canadian-open/past-results.2004.html,"Glen Abbey GC, Oakville,  Canada",BellCanadianOpen,2004,Sep 9 2004,PGA,2004,BellCanadianOpenPGA2004
Sep 19 2004,https://www.pgatour.com/tournaments/valero-texas-open/past-results.2004.html,"LaCantera GC (Resort), Dorado,  ",ValeroTexasOpen,2004,Sep 16 2004,PGA,2004,ValeroTexasOpenPGA2004
Sep 19 2004,https://www.pgatour.com/tournaments/ryder-cup/past-results.2004.html,"Oakland Hills CC (South), Birmingham, Michigan",RyderCup,2004,Sep 17 2004,PGA,2004,RyderCupPGA2004
Sep 26 2004,,"Nemacolin (Mystic Rock), Farmington, Pennsylvania",84LUMBERClassic,2004,Sep 23 2004,PGA,2004,84LUMBERClassicPGA2004
Oct 3 2004,https://www.pgatour.com/tournaments/sanderson-farms-championship/past-results.2004.html,"Annandale GC, Madison, Mississippi",SouthernFarmBureauClassic,2004,Sep 30 2004,PGA,2004,SouthernFarmBureauClassicPGA2004
Oct 3 2004,https://www.pgatour.com/tournaments/wgc-mexico-championship/en/past-results.2004.html,"Mount Juliet, Kilkenny,  ",WorldGolfChampionships-AmericanExpressChampionship,2004,Sep 30 2004,PGA,2004,WorldGolfChampionships-AmericanExpressChampionshipPGA2004
Oct 10 2004,https://www.pgatour.com/tournaments/shriners-hospitals-for-children-open/past-results.2004.html,"TPC Summerlin, Las Vegas, Nevada",MichelinChampionshipatLasVegas,2004,Oct 7 2004,PGA,2004,MichelinChampionshipatLasVegasPGA2004
Oct 17 2004,https://www.pgatour.com/tournaments/wyndham-championship/past-results.2004.html,"Forest Oaks CC, Greensboro, North Carolina",ChryslerClassicofGreensboro,2004,Oct 14 2004,PGA,2004,ChryslerClassicofGreensboroPGA2004
